country_code,currency_code
AFG,AFN
ALA,EUR
ALB,ALL
AND,EUR
ARE,AED
ARG,ARS
ARM,AMD
ASM,USD
ATF,EUR
AUS,AUD
AUT,EUR
AZE,AZN
BDI,BIF
BEL,EUR
BEN,XOF
BFA,XOF
BGD,BDT
BGR,BGN
BHR,BHD
BHS,USD
BIH,BAM
BLM,EUR
SHN,GBP
BLR,BYN
BLZ,BZD
BOL,BOB
BES,USD
BRA,BRL
BRN,BND
BRN,SGD
BTN,INR
BWA,BWP
CAF,XAF
CAN,CAD
CCK,AUD
CHE,CHF
CHL,CLP
CHN,CNY
CIV,XOF
CMR,XAF
COD,CDF
COG,XAF
COK,NZD
COL,COP
COM,KMF
CPV,CVE
CRI,CRC
CXR,AUD
CYP,EUR
CZE,CZK
DEU,EUR
DJI,DJF
DNK,DKK
DOM,DOP
DZA,DZD
ECU,USD
EGY,EGP
ERI,ERN
ESH,DZD
ESH,MAD
ESP,EUR
EST,EUR
ETH,ETB
FIN,EUR
FRA,EUR
FRO,DKK
GAB,XAF
GBR,GBP
GEO,GEL
GGY,GBP
GHA,GHS
GIN,GNF
GLP,EUR
GNB,XOF
GNQ,XAF
GRC,EUR
GRL,DKK
GTM,GTQ
GUF,EUR
GUM,USD
HKG,HKD
HND,HNL
HRV,EUR
HUN,HUF
IDN,IDR
IMN,GBP
IND,INR
IOT,USD
IRL,EUR
IRN,IRR
IRQ,IQD
ISL,ISK
ISR,ILS
ITA,EUR
JAM,JMD
JEY,GBP
JOR,JOD
JPN,JPY
KAZ,KZT
KEN,KES
KHM,KHR
KHM,USD
KIR,AUD
KOR,KRW
UNK,EUR
KWT,KWD
LBN,LBP
LBY,LYD
LIE,CHF
LKA,LKR
LSO,ZAR
LTU,EUR
LUX,EUR
LVA,EUR
MAC,MOP
MAF,EUR
MAR,MAD
MCO,EUR
MDA,MDL
MDG,MGA
MEX,MXN
MHL,USD
MKD,MKD
MLI,XOF
MLT,EUR
MMR,MMK
MNE,EUR
MNP,USD
MOZ,MZN
MTQ,EUR
MUS,MUR
MYS,MYR
MYT,EUR
NAM,NAD
NAM,ZAR
NER,XOF
NFK,AUD
NGA,NGN
NIC,NIO
NIU,NZD
NLD,EUR
NOR,NOK
NPL,NPR
NRU,AUD
NZL,NZD
OMN,OMR
PAK,PKR
PAN,PAB
PAN,USD
PCN,NZD
PER,PEN
PHL,PHP
PLW,USD
POL,PLN
PRI,USD
PRT,EUR
PRY,PYG
PSE,EGP
PSE,ILS
PSE,JOD
QAT,QAR
REU,EUR
ROU,RON
RUS,RUB
RWA,RWF
SAU,SAR
SDN,SDG
SEN,XOF
SGP,SGD
SJM,NOK
SLV,USD
SMR,EUR
SOM,SOS
SPM,EUR
SRB,RSD
SVK,EUR
SVN,EUR
SWE,SEK
SWZ,ZAR
SYR,SYP
TCA,USD
TCD,XAF
TGO,XOF
THA,THB
TKL,NZD
TLS,USD
TON,TOP
TTO,TTD
TUN,TND
TUR,TRY
TUV,AUD
TWN,TWD
TZA,TZS
UGA,UGX
UKR,UAH
UMI,USD
URY,UYU
USA,USD
UZB,UZS
VAT,EUR
VGB,USD
VIR,USD
VNM,VND
YEM,YER
ZAF,ZAR
ZWE,BWP
ZWE,CNY
ZWE,EUR
ZWE,GBP
ZWE,INR
ZWE,JPY
ZWE,USD
ZWE,ZAR